Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Location,Device_Type
100165,122,88185,Cash,Pune,Windows
100166,165,1038,Cash,Ludhiana,Windows
100167,158,6298,Online,Jaipur,Windows
100168,152,2660,UPI,Patna,Android
100169,143,71978,UPI,Vadodara,Android
100170,187,46157,Online,Bangalore,Android
100171,185,92941,Cash,Raipur,Android
100172,114,45875,UPI,Chandigarh,iOS
100173,121,42558,UPI,Patna,Windows
100174,197,27238,UPI,Jaipur,Windows
100175,193,40732,UPI,Bhubaneswar,Android
100176,135,99657,Online,Gwalior,Android
100177,190,75217,UPI,Varanasi,Android
100178,185,9237,Online,Ludhiana,Windows
100179,177,20630,Online,Pune,iOS
