Transaction_ID,Transaction_Amount,Is_Fraudulent_Predicted,Timestamp,Location,Transaction_Type
135,14953,0,22-01-2025,Pune,UPI
136,5230,0,11-02-2025,Hyderabad,IMPS
137,8594,0,26-02-2025,Hyderabad,IMPS
138,1430,0,28-01-2025,Chennai,Debit
139,1909,0,22-01-2025,Kolkata,Debit
140,11748,0,03-02-2025,Bangalore,Credit
141,18025,0,12-01-2025,Pune,Credit
142,17330,0,26-02-2025,Jaipur,Debit
143,6106,0,23-01-2025,Delhi,UPI
144,19445,0,20-02-2025,Ahmedabad,Credit
145,6377,0,28-02-2025,Bangalore,Credit
146,11774,0,18-02-2025,Pune,Credit
147,16807,0,21-01-2025,Chennai,Credit
148,10861,0,22-02-2025,Delhi,IMPS
149,5297,0,03-01-2025,Mumbai,Credit
150,4270,0,03-01-2025,Delhi,IMPS
